Algorithm,Data Type,Size,Time (ms),Comparisons
"MergeSort","almost_sorted",1600,1.7368,11869
"StringQuickSort","almost_sorted",1600,0.3451,42864
"StringMergeSort","almost_sorted",1600,1.9851,11869
"MSDRadixSort","almost_sorted",1600,0.9241,3859
"MSDRadixSortWithSwitch","almost_sorted",1600,0.3029,12369
"QuickSort","almost_sorted",1700,8.8406,921296
"MergeSort","almost_sorted",1700,1.7415,12635
"StringQuickSort","almost_sorted",1700,0.3883,47808
"StringMergeSort","almost_sorted",1700,2.6214,12635
"MSDRadixSort","almost_sorted",1700,0.9888,4096
"MSDRadixSortWithSwitch","almost_sorted",1700,0.3109,13144
"QuickSort","almost_sorted",1800,4.2292,410268
"MergeSort","almost_sorted",1800,2.0474,13419
"StringQuickSort","almost_sorted",1800,0.4126,52250
"StringMergeSort","almost_sorted",1800,2.2393,13419
"MSDRadixSort","almost_sorted",1800,1.0981,4341
"MSDRadixSortWithSwitch","almost_sorted",1800,0.3384,13886
"QuickSort","almost_sorted",1900,4.3528,444868
"MergeSort","almost_sorted",1900,2.0742,13684
"StringQuickSort","almost_sorted",1900,0.4526,56125
"StringMergeSort","almost_sorted",1900,2.4334,13684
"MSDRadixSort","almost_sorted",1900,1.1114,4573
"MSDRadixSortWithSwitch","almost_sorted",1900,0.3525,14663
"QuickSort","almost_sorted",2000,6.5051,639418
"MergeSort","almost_sorted",2000,2.0743,14416
"StringQuickSort","almost_sorted",2000,0.482,60238
"StringMergeSort","almost_sorted",2000,2.7442,14416
"MSDRadixSort","almost_sorted",2000,1.1709,4821
"MSDRadixSortWithSwitch","almost_sorted",2000,0.3545,15435
"QuickSort","almost_sorted",2100,8.2169,843968
"MergeSort","almost_sorted",2100,2.2006,15252
"StringQuickSort","almost_sorted",2100,0.5216,64687
"StringMergeSort","almost_sorted",2100,2.8716,15252
"MSDRadixSort","almost_sorted",2100,1.1644,5059
"MSDRadixSortWithSwitch","almost_sorted",2100,0.4555,16293
"QuickSort","almost_sorted",2200,5.8222,541402
"MergeSort","almost_sorted",2200,2.401,16510
"StringQuickSort","almost_sorted",2200,0.5557,69141
"StringMergeSort","almost_sorted",2200,2.8681,16510
"MSDRadixSort","almost_sorted",2200,1.226,5307
"MSDRadixSortWithSwitch","almost_sorted",2200,0.3892,17166
"QuickSort","almost_sorted",2300,7.7629,766051
"MergeSort","almost_sorted",2300,2.3651,16925
"StringQuickSort","almost_sorted",2300,0.5844,74224
"StringMergeSort","almost_sorted",2300,2.9901,16925
"MSDRadixSort","almost_sorted",2300,1.3366,5559
"MSDRadixSortWithSwitch","almost_sorted",2300,0.4107,18072
"QuickSort","almost_sorted",2400,7.6234,720981
"MergeSort","almost_sorted",2400,2.8613,18019
"StringQuickSort","almost_sorted",2400,0.6527,78970
"StringMergeSort","almost_sorted",2400,3.0483,18019
"MSDRadixSort","almost_sorted",2400,1.3775,5793
"MSDRadixSortWithSwitch","almost_sorted",2400,0.4337,18806
"QuickSort","almost_sorted",2500,9.3645,919234
"MergeSort","almost_sorted",2500,2.6191,18659
"StringQuickSort","almost_sorted",2500,0.6897,89207
"StringMergeSort","almost_sorted",2500,3.1468,18659
"MSDRadixSort","almost_sorted",2500,1.4323,6035
"MSDRadixSortWithSwitch","almost_sorted",2500,0.6091,19489
"QuickSort","almost_sorted",2600,11.8825,1174084
"MergeSort","almost_sorted",2600,3.035,19653
"StringQuickSort","almost_sorted",2600,0.7434,95079
"StringMergeSort","almost_sorted",2600,3.4328,19653
"MSDRadixSort","almost_sorted",2600,1.5033,6283
"MSDRadixSortWithSwitch","almost_sorted",2600,0.4419,20179
"QuickSort","almost_sorted",2700,14.2229,1438934
"MergeSort","almost_sorted",2700,2.866,20733
"StringQuickSort","almost_sorted",2700,0.7892,101169
"StringMergeSort","almost_sorted",2700,3.4283,20733
"MSDRadixSort","almost_sorted",2700,1.5048,6519
"MSDRadixSortWithSwitch","almost_sorted",2700,0.477,20971
"QuickSort","almost_sorted",2800,16.2939,1642095
"MergeSort","almost_sorted",2800,2.9489,21459
"StringQuickSort","almost_sorted",2800,0.842,106543
"StringMergeSort","almost_sorted",2800,3.7523,21459
"MSDRadixSort","almost_sorted",2800,1.597,6765
"MSDRadixSortWithSwitch","almost_sorted",2800,0.4373,21725
"QuickSort","almost_sorted",2900,18.9932,1927045
"MergeSort","almost_sorted",2900,3.209,22131
"StringQuickSort","almost_sorted",2900,0.8766,112556
"StringMergeSort","almost_sorted",2900,3.76,22131
"MSDRadixSort","almost_sorted",2900,1.6281,7020
"MSDRadixSortWithSwitch","almost_sorted",2900,0.5815,22495
"QuickSort","almost_sorted",3000,21.7846,2221995
